store_code,region,branch_name,display_name,open_date,address
001,서울,서울 강남점,오늘은 볶음우동 서울 강남점,2025-06-04,"서울특별시 강남구 언주로146길 46, 1층"
002,충남,충남 천안점,오늘은 볶음우동 충남 천안점,2025-12-17,"충청남도 천안시 동남구 원성25길 13-7, 1층 101호"
003,부산,부산 사직점,오늘은 볶음우동 부산 사직점,2025-12-29,"부산광역시 동래구 여고북로123번길 5, 1층"
004,부산,부산 해운대점,오늘은 볶음우동 부산 해운대점,2025-12-25,"부산광역시 해운대구 좌동순환로468번길 51, 1층"
005,충북,충북 충주점,오늘은 볶음우동 충북 충주점,2025-12-30,충청북도 충주시 봉방9길 4
006,경기,경기 평택점,오늘은 볶음우동 경기 평택점,2026-01-05,"경기도 평택시 비전9길 12-12, 1층 105호"
007,경남,경남 진주점,오늘은 볶음우동 경남 진주점,2026-01-07,"경상남도 진주시 진양호로532번길 10, 1층"
008,인천,인천 검단마전점,오늘은 볶음우동 인천 검단마전점,2026-01-14,"인천광역시 서구 완정로 23, 101호"
009,대구,대구 동구점,오늘은 볶음우동 대구 동구점,2026-01-22,"대구광역시 동구 율하동로19길 53-2, 1층"
010,경기,경기 부천점,오늘은 볶음우동 경기 부천점,2026-01-21,"경기도 부천시 원미구 부흥로307번길 28, 2층"
011,경남,경남 진해직영점,오늘은 볶음우동 경남 진해직영점,2026-01-22,"경상남도 창원시 진해구 만금로 19, 1층"
012,경기,경기 일산점,오늘은 볶음우동 경기 일산점,2026-04-01,"경기도 고양시 일산동구 대산로31번길 5-4, 1층 일부호"
013,세종,세종 조치원점,오늘은 볶음우동 세종 조치원점,2026-02-15,"세종특별자치시 조치원읍 행복10길 11, 1층"
014,충남,충남 공주점,오늘은 볶음우동 충남 공주점,2026-02-15,"충청남도 공주시 번영3로 52-3, 101호"
015,충북,충북 음성대소점,오늘은 볶음우동 충북 음성대소점,2026-04-03,충청북도 음성군 대소면 대금로 484
016,경북,경북 포항북구점,오늘은 볶음우동 경북 포항북구점,2026-02-15,경상북도 포항시 북구 법원로115번길 5
017,경북,경북 흥해초곡점,오늘은 볶음우동 경북 흥해초곡점,2026-02-15,경상북도 포항시 북구 흥해읍 초곡지구로58번길 14
018,경북,경북 남구오천점,오늘은 볶음우동 경북 남구오천점,2026-03-03,경상북도 포항시 남구 오천읍 원동로131번길 7
019,경북,경북 경주안강점,오늘은 볶음우동 경북 경주안강점,2026-02-26,경상북도 경주시 안강읍 구부랑4길 14-10
020,서울,서울 강서점,오늘은 볶음우동 서울 강서점,2026-04-07,"서울특별시 강서구 마곡중앙2로 35, 1층 103호"
021,충남,충남 계룡점,오늘은 볶음우동 충남 계룡점,2026-04-16,충청남도 계룡시 엄사면 번영로 52
022,경기,경기 진접오남점,오늘은 볶음우동 경기 진접오남점,2026-04-15,"경기도 남양주시 진접읍 해밀예당3로 36, 상가동 101-2호"
023,충남,충남 아산배방점,오늘은 볶음우동 충남 아산배방점,2026-04-09,"충청남도 아산시 배방읍 북수로 95-3, 103호"

